winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
false,16,1056,3020,3285,3001,1058,1026,3340,4,0,0,0,0,0,3,5,9,133461,19742,18873,0,3767,194,10,10,0,11314,9425,0,0,0,0,16132,709,2900,1,0,89497,13458,30505,8446,9648,778,false,false,false,false,false,false,0,0,10,2,1,1,1,36 
true,15,1056,3157,1056,3020,3285,1058,3340,3,0,0,0,0,0,2,2,6,135833,15575,13750,0,5010,165,13,10,3,11147,10150,0,0,0,0,11144,790,3640,0,0,77644,23128,35060,8040,4804,905,false,false,true,false,false,false,2,1,10,0,1,1,1,34 
true,15,1056,3285,3020,3089,3135,0,3340,8,0,0,0,0,0,3,4,9,122482,21668,14935,0,3251,151,12,9,3,12319,11425,0,0,0,0,16927,1154,3586,1,0,74024,20310,28147,7482,7236,216,false,false,false,false,false,false,0,2,8,0,1,2,1,50 
true,13,1056,0,3020,3285,1058,1026,3363,5,0,0,0,0,0,5,0,3,86530,10580,7610,0,1817,146,1,1,0,8464,7275,0,0,0,0,7548,855,2175,1,0,49277,14324,22928,4539,3071,0,false,false,true,false,false,false,0,2,9,2,1,1,1,27 
true,14,1056,3285,3020,1056,3089,0,3340,7,0,0,0,0,0,5,1,3,124268,13568,12795,0,3281,148,11,11,0,10518,9325,0,0,0,0,9506,1290,2770,1,0,69006,28433,26828,3032,9667,96,false,false,false,false,false,true,0,2,8,1,1,2,1,61 
false,18,1056,3285,1026,3020,3089,3001,3363,7,0,0,0,0,0,4,11,5,196776,28587,29321,0,5126,235,4,4,0,14183,12400,0,0,0,0,22723,1386,4477,0,0,130204,14627,51943,19416,8881,1023,false,false,false,false,false,false,0,1,15,3,1,1,1,81 
true,16,1056,3157,3020,3089,3285,0,3340,13,5,0,0,0,0,5,3,10,146848,27469,14134,0,2692,169,8,4,4,14103,12600,0,0,0,0,18679,2001,6788,0,0,78575,34759,33513,2653,11066,414,false,false,true,false,false,false,0,3,6,1,2,4,1,201 
true,17,1058,3285,3165,1056,3020,3135,3340,5,1,0,0,0,0,5,2,10,216992,41461,18537,0,6293,220,10,5,5,14540,11675,0,0,0,0,29845,2042,9573,1,0,135196,31528,50266,5840,11842,854,false,false,false,false,false,true,0,0,18,1,2,1,1,76 
true,13,1056,3285,1056,3020,0,0,3340,6,1,0,0,0,0,6,0,7,85485,12275,7297,0,1988,121,2,2,0,8463,5425,0,0,0,0,8022,1788,2464,1,0,45093,18346,22045,431,6597,269,false,false,true,false,false,false,0,2,9,1,2,1,1,16 
true,14,1056,3285,1056,3020,3089,1057,3340,5,0,0,0,0,0,2,11,7,106995,18974,23487,0,2500,128,6,5,1,11653,9820,0,0,0,0,14579,1048,3346,0,0,65102,18744,23149,17412,5438,636,false,false,false,false,false,true,0,2,9,2,1,1,1,23 
false,15,1056,3157,3020,1056,3285,0,3340,2,0,0,0,0,0,2,6,6,134970,22694,23038,0,3609,186,5,5,0,10009,8850,0,0,0,0,14444,2012,6237,0,0,84287,16557,34125,14846,6309,1882,false,false,false,false,false,false,0,0,9,1,1,1,1,43 
false,16,1056,3157,3020,3285,3089,0,3340,10,1,0,0,0,0,5,11,4,167410,29042,27448,0,4798,185,18,15,3,13518,12200,0,0,0,0,21689,2228,5124,0,0,106343,20282,40784,4034,22687,726,false,false,false,false,false,false,0,0,13,3,2,2,1,102 
false,16,1056,3020,3285,3165,1058,1026,3340,5,2,0,0,0,0,2,3,3,159591,22522,18935,0,4738,217,6,4,2,11432,9675,0,0,0,0,17230,988,4303,1,0,102603,17995,38992,10947,7716,272,false,false,true,false,false,false,0,1,15,3,2,2,1,125 
true,18,3285,3157,3020,3165,3001,3135,3363,11,1,0,0,0,0,4,6,16,290616,55547,29949,0,9443,256,18,18,0,19218,16325,0,0,0,0,39466,1732,14348,1,0,192708,32280,65628,15549,13938,461,false,false,false,false,false,false,0,2,23,4,2,3,1,97 
true,16,1056,3157,3285,3020,3165,3001,3340,10,1,0,0,0,0,6,4,10,143351,25679,17399,0,4279,203,3,1,2,14116,13600,0,0,0,0,19488,2047,4143,0,0,86810,22350,34190,7539,9620,240,false,false,false,false,false,true,0,0,10,0,2,2,1,43 
false,14,1056,3020,3285,3165,3001,0,3340,5,0,0,0,0,0,2,7,2,114684,18030,16350,0,1979,186,3,3,0,10657,9625,0,0,0,0,12815,746,4467,1,0,71388,13753,29541,13122,3227,0,false,false,false,false,false,false,0,0,8,1,1,1,1,57 
false,6,1056,1058,0,0,0,0,3340,0,0,0,0,0,0,0,3,2,10315,2157,3811,0,251,31,0,0,0,2835,1850,0,0,0,0,986,667,503,0,0,3851,4413,2050,2014,1761,36,false,false,false,false,false,false,0,0,1,1,0,0,1,4 
true,17,1026,3157,3001,3020,3285,1058,3363,13,1,1,0,0,0,6,5,20,172317,43063,21622,0,5337,203,12,9,3,15678,12975,0,0,0,0,34889,2111,6062,3,0,111551,27317,33448,13694,7007,920,false,false,false,false,false,true,0,0,13,5,3,3,1,81 
false,15,1056,3157,1056,3020,3001,3285,3340,10,0,0,0,0,0,5,6,6,118857,22580,21206,0,5034,157,3,3,0,11293,11100,0,0,0,0,17114,1595,3870,0,0,78863,15482,24511,10380,10435,390,false,false,false,false,false,false,0,0,4,1,1,2,1,43 
true,14,1056,3191,3285,3165,3020,1058,3340,6,0,0,0,0,0,3,4,7,112488,14410,11536,0,2332,146,7,4,3,11407,9725,0,0,0,0,11111,1051,2248,2,0,65554,22417,24516,1662,9744,130,false,false,false,true,false,true,0,3,6,1,1,2,1,26 
true,17,1056,3157,3020,3001,3285,1058,3363,8,0,0,0,0,0,5,4,9,165299,21095,14124,0,2552,210,13,9,4,13909,12225,0,0,0,0,15819,1427,3849,3,0,103109,28124,34065,6567,7069,488,false,false,false,false,false,true,1,2,17,3,1,2,1,95 
false,14,1056,3157,0,3285,3001,1056,3340,5,1,0,0,0,0,3,8,12,114455,24061,24998,0,3379,158,2,2,0,10942,10025,0,0,0,0,17240,1178,5642,1,0,75280,13089,26084,13220,10504,1273,false,false,false,false,false,false,0,0,9,1,2,1,1,52 
true,16,1056,3157,3020,3001,3285,1026,3340,5,0,0,0,0,0,2,3,11,137270,19714,14298,0,3257,181,12,11,1,12176,11625,0,0,0,0,14167,1094,4452,1,0,84588,17889,34793,5977,7793,528,true,false,false,false,false,false,0,1,13,1,1,1,1,97 
false,13,1056,3285,3020,3001,0,0,3340,2,0,0,0,0,0,0,10,0,101876,8461,17022,0,2285,150,7,7,0,7965,7350,0,0,0,0,6464,391,1605,0,0,61503,12151,28222,10518,5589,914,false,false,false,false,false,false,0,0,4,2,1,0,1,32 
false,17,1056,3285,3020,3165,3089,3135,3340,4,0,0,0,0,0,2,8,10,208089,31333,30695,0,5353,258,8,6,2,15352,13725,0,0,0,0,19094,2515,9723,1,0,122752,32218,53117,19418,10626,650,false,false,false,true,false,false,0,1,12,4,1,1,1,130 
