winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt,champion
true,13,3209,3074,2044,0,3117,0,3341,5,0,0,0,0,0,4,1,7,96251,9956,14996,0,4101,23,67,60,7,8813,6570,0,0,0,0,0,8639,1316,0,3,772,85458,10021,868,13671,457,true,false,false,true,false,false,0,0,2,0,1,1,1,559,Udyr 
true,14,2043,3157,2044,3206,3020,1026,3340,5,0,0,0,0,0,5,2,14,80463,13570,14139,0,9532,26,49,47,2,9311,7935,0,0,0,0,13070,500,0,2,5,63723,11958,4782,1684,12203,252,false,false,false,false,false,true,0,0,13,1,1,1,1,338,Fiddlesticks 
true,18,2043,3190,3001,3260,3068,3207,3340,6,1,0,0,0,0,3,7,21,142481,17993,34658,0,5533,89,69,64,5,15023,13960,0,0,0,0,15457,2370,166,4,12,106956,25798,9726,6807,26992,859,false,false,false,false,false,false,0,0,24,4,2,1,1,608,Sejuani 
false,15,3209,3047,3134,3143,0,0,3340,4,0,0,0,0,0,2,7,6,121780,10393,23044,0,3279,71,68,67,1,9406,7942,0,0,0,0,783,8416,1193,1,3,13957,94830,12991,2114,20639,290,false,false,false,false,false,false,0,0,8,1,1,1,1,653,Jarvan IV 
false,16,3207,0,3143,1026,3047,1057,3340,0,0,0,0,0,0,0,6,13,117185,10205,35465,0,5492,40,71,68,3,9923,8600,0,0,0,0,7797,2284,124,3,4,80429,25538,11218,12369,21672,1424,false,false,false,false,false,false,0,0,16,0,0,0,1,707,Sejuani 
true,17,3206,3157,3020,3001,3136,2044,3340,4,0,0,0,0,0,3,5,21,131535,20097,21433,0,10250,66,56,44,12,12551,10920,0,0,0,0,18874,1138,84,0,5,110961,11287,9286,7853,13441,139,false,false,false,true,false,false,0,1,10,0,1,1,1,478,Fiddlesticks 
true,18,3092,3157,3151,3020,3001,1058,3340,12,4,0,0,0,0,10,3,14,148293,26545,16278,0,4882,106,24,19,5,16803,14715,0,0,0,0,25049,1009,486,1,7,132297,15150,846,3590,11827,860,false,false,false,true,false,true,1,2,19,1,2,1,1,471,Fiddlesticks 
true,14,1056,3128,3135,3020,1058,0,3340,2,0,0,0,0,0,2,3,7,82394,11290,9176,0,519,115,14,13,1,9606,8780,0,0,0,0,10143,821,326,0,1,68009,14059,326,3607,5516,52,false,false,false,false,false,true,0,0,5,0,1,1,1,64,Annie 
true,16,3209,3143,3035,3047,3134,0,3341,11,1,0,0,0,0,5,3,12,120311,19922,19410,0,3831,51,62,52,10,12828,10462,0,0,0,0,284,17890,1747,1,5,5805,101922,12583,2528,16646,235,true,false,false,false,false,false,0,2,8,0,2,2,1,306,Wukong 
false,12,3207,3111,3105,3024,0,0,3340,0,0,0,0,0,0,0,5,7,96289,5866,18563,0,3231,17,80,74,6,7057,6330,0,0,0,0,5092,629,144,0,0,68758,17563,9968,3588,14416,558,false,false,false,true,false,false,0,0,5,0,0,0,1,155,Amumu 
true,15,1055,3072,3006,3046,3086,1018,3340,2,0,0,0,0,0,0,4,12,119762,15456,17049,462,2265,186,4,0,4,11677,9850,0,0,0,0,856,14600,0,0,0,2509,117253,0,5796,10127,1125,false,false,false,false,true,false,1,4,4,0,1,0,3,77,Jinx 
true,16,3207,3068,0,3265,3110,0,3340,4,1,0,0,0,0,3,3,18,133011,11829,24461,0,4359,35,79,69,10,12041,10210,0,0,0,0,10400,1235,194,0,12,95654,24711,12646,8335,15368,757,false,false,true,false,false,true,0,1,22,0,2,1,1,1015,Amumu 
true,17,3207,3190,3068,3111,3110,0,3340,5,0,0,0,0,0,5,0,19,146333,15995,21116,0,4607,28,92,72,20,13336,12155,0,0,0,0,13666,2176,152,0,6,104992,25788,15552,5748,13485,1881,false,false,false,false,false,true,0,0,15,1,1,1,1,964,Amumu 
true,16,3207,3190,0,3111,0,3110,3340,5,0,0,0,0,0,0,7,11,121070,13818,23245,0,3531,25,76,67,9,11844,9255,0,0,0,0,11650,1804,364,0,5,85188,24630,11252,6235,15835,1174,false,false,true,false,false,false,1,2,12,0,1,0,1,783,Amumu 
false,14,1055,3072,3006,3046,0,0,3340,2,0,0,0,0,0,0,6,2,91717,7831,19827,395,2594,167,4,3,1,8546,7845,0,0,0,0,348,7483,0,0,0,1294,90422,0,9398,9975,453,false,false,false,false,false,false,0,0,2,0,1,0,3,52,Jinx 
