winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,18,3165,3285,3089,3116,1333,3135,3363,13,3,1,0,0,0,6,4,7,324941,36332,29042,0,7674,342,31,16,15,21124,19350,0,0,0,0,27182,1353,7796,2,0,203612,30848,90479,16516,12331,194,false,false,false,false,false,true,1,3,20,18,3,3,1,753 
true,14,1026,3158,1058,1082,3285,3165,3363,5,0,0,0,0,0,4,1,10,120518,15716,9023,0,2224,194,12,6,6,10971,9975,0,0,0,0,11288,1034,3392,1,0,68619,19768,32130,3756,4267,1000,false,false,false,false,false,true,0,2,9,2,1,1,1,56 
false,16,3158,3001,3165,3089,1058,3135,3363,14,2,0,0,0,0,11,4,13,165815,36175,20682,0,5737,233,7,7,0,15203,14200,0,0,0,0,22974,2130,11069,2,0,98833,15419,51562,6331,13782,568,false,false,false,false,false,false,0,0,12,4,2,1,1,63 
false,13,1056,1056,3165,3089,1052,3158,3363,4,1,0,0,0,0,3,3,5,94369,15722,15688,0,2322,142,3,3,0,8903,8860,0,0,0,0,9979,1124,4618,3,0,51466,11279,31624,7058,7658,972,false,false,false,false,false,false,0,0,11,1,2,1,1,27 
false,15,1058,3165,1026,1082,3001,3158,3363,6,1,0,0,0,0,4,4,3,105245,15700,15592,0,2418,170,2,2,0,10354,9325,0,0,0,0,10885,1561,3253,1,0,62033,12674,30537,9311,5524,756,false,false,false,false,false,false,0,0,10,3,2,1,1,53 
true,15,1058,1082,1026,3158,3285,3165,3363,9,1,0,0,0,0,9,1,7,135525,15770,12239,0,2960,184,11,3,8,12483,10175,0,0,0,0,11634,1513,2622,3,0,76871,18284,40370,3812,7962,464,false,false,false,true,false,true,1,0,9,1,2,1,1,53 
false,14,1056,3089,1082,3165,3158,0,3363,2,0,0,0,0,0,0,7,3,104568,13801,17136,0,1273,177,5,5,0,8681,8525,0,0,0,0,7742,2070,3988,1,0,56344,14818,33404,9376,7440,320,false,false,false,false,false,false,0,0,7,4,1,0,1,47 
false,12,1056,3165,3285,3158,2043,0,3363,2,0,0,0,0,0,0,1,3,83245,7914,8528,0,1480,167,7,7,0,7901,7525,0,0,0,0,5255,895,1763,3,0,44798,11732,26714,3822,4354,352,false,false,false,false,false,false,0,0,10,2,1,0,1,79 
false,17,3089,3285,3165,3158,3116,2043,3363,8,0,0,0,0,0,5,4,10,181864,35265,28127,0,6905,254,7,6,1,14977,15125,0,0,0,0,23596,2435,9234,3,0,113483,17050,51330,17135,10211,781,false,false,false,false,false,false,0,0,18,4,1,1,1,191 
true,18,3089,3116,3135,1082,3158,3001,3363,8,1,0,0,0,0,6,4,10,215465,22122,20009,0,5797,285,6,5,1,16237,14725,0,0,0,0,17280,1454,3387,1,0,125533,33161,56770,6491,13286,232,false,false,false,false,false,false,1,2,16,4,2,2,1,923 
true,18,3089,3116,3135,1082,3158,3001,3363,8,1,0,0,0,0,6,4,10,215465,22122,20009,0,5797,285,6,5,1,16237,14725,0,0,0,0,17280,1454,3387,1,0,125533,33161,56770,6491,13286,232,false,false,false,false,false,false,1,2,16,4,2,2,1,923 
true,18,1056,3157,3089,3158,3165,1052,3363,7,0,0,0,0,0,6,3,4,182577,16269,16908,0,4353,275,2,2,0,14265,11935,0,0,0,0,11740,1926,2603,2,0,100414,30613,51549,5579,10899,430,false,false,false,false,false,false,0,1,13,4,1,1,1,62 
true,16,3140,1026,3158,3089,3116,3165,3363,6,1,0,0,0,0,4,3,9,155384,19239,16162,0,4451,226,6,6,0,14145,13600,0,0,0,0,10799,1938,6500,0,0,82085,27341,45957,8362,7683,116,false,false,false,false,false,false,0,3,10,2,2,2,1,600 
true,17,1058,3135,3001,3165,3158,1026,3363,4,0,0,0,0,0,3,8,8,179265,23477,24708,0,4032,206,6,6,0,13146,12400,0,0,0,0,14437,4134,4904,2,0,101405,25811,52049,10227,12973,1508,false,false,false,false,false,false,0,3,9,2,1,1,1,115 
true,12,1058,1056,1082,1056,3001,3158,3363,2,0,0,0,0,0,2,1,4,64847,7180,8049,0,891,131,0,0,0,7195,5900,0,0,0,0,3660,1457,2062,0,0,32749,10781,21316,4841,3025,182,false,false,false,false,false,false,0,0,8,3,1,1,1,26 
true,15,3285,1056,3001,1056,3158,3116,3363,7,1,0,0,0,0,3,4,11,136902,24816,14193,0,3576,189,14,11,3,12616,10650,0,0,0,0,18020,2296,4499,0,0,77183,24877,34841,3724,9827,642,false,false,true,false,false,true,0,3,11,3,2,2,1,217 
false,15,3158,3165,3285,3116,0,1056,3363,3,0,0,0,0,0,0,7,8,125751,12763,21395,0,2881,190,4,4,0,11056,11200,0,0,0,0,9286,1349,2127,2,0,72080,15339,38331,8451,11932,1012,false,false,false,false,false,false,0,0,13,3,1,0,1,77 
